timestamp,machine_id,rpm,pressure,temperature,vib_x,vib_y,vib_z,failure_mode,degradation_level,failure_event,rpm_mean_60min,pressure_mean_60min,temperature_mean_60min,vib_x_mean_60min,vib_y_mean_60min,vib_z_mean_60min,rpm_std_60min,pressure_std_60min,temperature_std_60min,vib_x_std_60min,vib_y_std_60min,vib_z_std_60min,rpm_max_60min,pressure_max_60min,temperature_max_60min,vib_x_max_60min,vib_y_max_60min,vib_z_max_60min,vib_overall,vib_x_rms_60min,vib_y_rms_60min,vib_z_rms_60min,vib_x_kurtosis_60min,vib_y_kurtosis_60min,vib_z_kurtosis_60min,vib_x_crest_60min,vib_y_crest_60min,vib_z_crest_60min
13/10/2025 0:00,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:05,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:10,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:15,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:20,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:25,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:30,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:35,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:40,M01,,,,,,,misalignment,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2025 0:45,M01,1627.412302,7.971092704,29.79218751,2.313437711,2.487011174,1.256414762,misalignment,0,0,,,,,,,,,,,,,,,,,,,3.621573785,,,,,,,,,
13/10/2025 0:50,M01,1628.00881,8.341442893,28.46294032,2.576713205,2.73550692,1.65115907,misalignment,0,0,,,,,,,,,,,,,,,,,,,4.104725975,,,,,,,,,
13/10/2025 0:55,M01,1627.673688,7.853448817,30.69324685,1.213339024,1.746817368,2.199496705,misalignment,0,0,,,,,,,,,,,,,,,,,,,3.059632046,,,,,,,,,
13/10/2025 1:00,M01,1628.174249,8.565439188,30.575893,3.074124034,2.414365605,1.687423715,misalignment,0,0,,,,,,,,,,,,,,,,,,,4.257557827,,,,,,,,,
13/10/2025 1:05,M01,1628.242833,7.466510741,30.31181608,1.668391904,2.879952966,1.58562426,misalignment,0,0,,,,,,,,,,,,,,,,,,,3.686714652,,,,,,,,,
13/10/2025 1:10,M01,1629.009277,7.324038033,29.55138934,2.991230087,2.715398897,1.68010715,misalignment,0,0,,,,,,,,,,,,,,,,,,,4.375340974,,,,,,,,,
13/10/2025 1:15,M01,1628.679715,8.100179047,29.47058817,2.404506758,2.558041085,1.469529479,misalignment,0,0,,,,,,,,,,,,,,,,,,,3.805882793,,,,,,,,,
13/10/2025 1:20,M01,1628.524241,7.683403556,28.69045113,2.526789436,2.619748831,1.511737877,misalignment,0,0,,,,,,,,,,,,,,,,,,,3.941205425,,,,,,,,,
